iter	Accuracy	Logloss
345	0.9459247649	0.1782885456
346	0.9459247649	0.1780221765
347	0.9461206897	0.1778600365
348	0.9463166144	0.177650061
349	0.9467084639	0.1773205809
350	0.9469043887	0.1772651204
351	0.9471003135	0.1768666397
352	0.9472962382	0.1765000248
353	0.9472962382	0.1761120175
354	0.947492163	0.1758229016
355	0.947492163	0.1755049261
356	0.9480799373	0.1752581399
357	0.9480799373	0.1748295418
358	0.9480799373	0.1745274045
359	0.9480799373	0.1741808087
360	0.9482758621	0.1739858311
361	0.9482758621	0.1737386367
362	0.9484717868	0.1735643895
363	0.9484717868	0.1734134443
364	0.9486677116	0.1731591528
365	0.9486677116	0.1728983394
366	0.9488636364	0.1726943295
367	0.9488636364	0.1725142343
368	0.9488636364	0.1723411165
369	0.9486677116	0.1720371192
370	0.9486677116	0.1717413018
371	0.9486677116	0.1716087061
372	0.9490595611	0.1714063703
373	0.9490595611	0.1711807477
374	0.9492554859	0.171000934
375	0.9492554859	0.1704714278
376	0.9494514107	0.1702774305
377	0.9496473354	0.1700745425
378	0.9496473354	0.1699709289
379	0.9498432602	0.1698789196
380	0.950039185	0.1696009108
381	0.9498432602	0.1693429572
382	0.9502351097	0.1691886985
383	0.9506269592	0.1688222298
384	0.9504310345	0.1686710638
385	0.9504310345	0.168479959
386	0.9506269592	0.1681862769
387	0.950822884	0.1680005362
388	0.9512147335	0.1678918101
389	0.9512147335	0.1677695318
390	0.9512147335	0.1676383545
391	0.9518025078	0.1672627877
392	0.9518025078	0.167101921
393	0.9521943574	0.1668672893
394	0.9521943574	0.1668336004
395	0.9519984326	0.1666127971
396	0.9519984326	0.1665049326
397	0.9527821317	0.1661226766
398	0.9527821317	0.1659807805
399	0.9529780564	0.1656132625
400	0.9529780564	0.1653902587
401	0.9527821317	0.1650581034
402	0.9529780564	0.1649198743
403	0.9529780564	0.1645947143
404	0.9529780564	0.1643214773
405	0.9529780564	0.1642672897
406	0.9529780564	0.1640080589
407	0.9531739812	0.1638088517
408	0.9531739812	0.1636995429
409	0.9531739812	0.1634908809
410	0.9527821317	0.1632127408
411	0.9531739812	0.1628209244
412	0.9531739812	0.1627147572
413	0.9531739812	0.1623505415
414	0.9531739812	0.162106359
415	0.9535658307	0.1616233126
